UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
14:29:24, 190, 0, 100380,  ,  , 20.81, 52.80,  ,  ,  , 
14:29:25, 191, 0, 100374,  ,  , 20.80, 52.85,  ,  ,  , 
14:29:26, 191, 0, 100375,  ,  , 20.78, 52.90,  ,  ,  , 
14:29:27, 190, 0, 100377,  ,  , 20.77, 52.95,  ,  ,  , 
14:29:28, 190, 0, 100380,  ,  , 20.76, 52.95,  ,  ,  , 
14:29:29, 190, 0, 100380,  ,  , 20.75, 52.95,  ,  ,  , 
14:29:30, 190, 0, 100381,  ,  , 20.73, 53.00,  ,  ,  , 
14:29:31, 190, 0, 100382,  ,  , 20.73, 53.00,  ,  ,  , 
14:29:32, 190, 0, 100381,  ,  , 20.72, 53.00,  ,  ,  , 
14:29:33, 190, 0, 100380,  ,  , 20.72, 53.05,  ,  ,  , 
14:29:34, 190, 0, 100380,  ,  , 20.72, 53.10, 22.0,  ,  , 
14:29:35, 190, 0, 100380,  ,  , 20.71, 53.10,  ,  ,  , 
14:29:36, 190, 0, 100381,  ,  , 20.70, 53.15,  ,  ,  , 0
14:29:37, 190, 0, 100382,  ,  , 20.70, 53.20,  ,  ,  , 0
14:29:38, 190, 0, 100380,  ,  , 20.69, 53.20,  ,  ,  , 0
14:29:39, 190, 0, 100379,  ,  , 20.68, 53.20,  ,  ,  , 0
14:29:40, 190, 0, 100378,  ,  , 20.67, 53.25,  ,  ,  , 0
14:29:41, 190, 0, 100378,  ,  , 20.66, 53.25,  ,  ,  , 0
14:29:42, 190, 0, 100378,  ,  , 20.65, 53.30,  ,  ,  , 0
14:29:43, 190, 0, 100378,  ,  , 20.64, 53.30,  ,  ,  , 0
14:29:44, 190, 0, 100378,  ,  , 20.63, 53.35,  ,  ,  , 0
14:29:45, 190, 0, 100378,  ,  , 20.61, 53.35,  ,  ,  , 0
14:29:46, 190, 0, 100378,  ,  , 20.61, 53.35,  ,  ,  , 0
14:29:47, 190, 0, 100379,  ,  , 20.58, 53.35,  ,  ,  , 0
14:29:48, 190, 0, 100380,  ,  , 20.57, 53.40,  ,  ,  , 0
14:29:49, 190, 0, 100382,  ,  , 20.57, 53.40,  ,  ,  , 0
14:29:50, 190, 0, 100380,  ,  , 20.56, 53.40,  ,  ,  , 0
14:29:51, 190, 0, 100379,  ,  , 20.54, 53.45,  ,  ,  , 0
14:29:52, 190, 0, 100378,  ,  , 20.53, 53.45,  ,  ,  , 0
14:29:52, 190, 0, 100378,  ,  , 20.52, 53.45,  ,  ,  , 0
14:29:53, 190, 0, 100379,  ,  , 20.51, 53.45,  ,  ,  , 0
14:29:54, 190, 0, 100380,  ,  , 20.50, 53.45,  ,  ,  , 0
14:29:55, 190, 0, 100380,  ,  , 20.50, 53.40,  ,  ,  , 0
14:29:56, 190, 0, 100380,  ,  , 20.50, 53.40,  ,  ,  , 0
14:29:57, 190, 0, 100380,  ,  , 20.50, 53.45,  ,  ,  , 0
14:29:58, 190, 0, 100380,  ,  , 20.50, 53.50,  ,  ,  , 0
14:29:59, 190, 0, 100380,  ,  , 20.51, 53.55,  ,  ,  , 0
14:30:00, 190, 0, 100380,  ,  , 20.51, 53.55, 22.5,  ,  , 0
14:30:01, 190, 0, 100380,  ,  , 20.51, 53.55,  ,  ,  , 0
14:30:02, 190, 0, 100381,  ,  , 20.52, 53.55,  ,  ,  , 0
14:30:03, 190, 0, 100382,  ,  , 20.53, 53.50,  ,  ,  , 0
14:30:04, 190, 0, 100382,  ,  , 20.53, 53.50,  ,  ,  , 0
14:30:05, 190, 0, 100382,  ,  , 20.54, 53.50,  ,  ,  , 0
14:30:06, 190, 0, 100382,  ,  , 20.54, 53.45,  ,  ,  , 0
14:30:07, 190, 0, 100381,  ,  , 20.54, 53.45,  ,  ,  , 0
14:30:08, 190, 0, 100380,  ,  , 20.54, 53.45,  ,  ,  , 0
14:30:09, 190, 0, 100380,  ,  , 20.53, 53.35,  ,  ,  , 0
14:30:10, 190, 0, 100382,  ,  , 20.53, 53.25,  ,  ,  , 0
14:30:11, 190, 0, 100385,  ,  , 20.52, 53.25,  ,  ,  , 0
14:30:12, 189, -1, 100388,  ,  , 20.53, 53.20,  ,  ,  , -0.1
14:30:13, 190, 0, 100385,  ,  , 20.53, 53.20,  ,  ,  , 0
14:30:14, 190, 0, 100383,  ,  , 20.54, 53.40,  ,  ,  , 0
14:30:15, 190, 0, 100382,  ,  , 20.55, 53.45,  ,  ,  , 0
14:30:16, 190, 0, 100381,  ,  , 20.57, 53.65,  ,  ,  , 0
14:30:17, 190, 0, 100380,  ,  , 20.58, 53.85,  ,  ,  , 0
14:30:18, 190, 0, 100380,  ,  , 20.61, 53.95,  ,  ,  , 0
14:30:19, 190, 0, 100380,  ,  , 20.61, 54.25,  ,  ,  , 0
14:30:20, 190, 0, 100380,  ,  , 20.60, 54.30,  ,  ,  , 0
14:30:21, 190, 0, 100380,  ,  , 20.58, 54.00,  ,  ,  , 0
14:30:22, 190, 0, 100379,  ,  , 20.57, 53.75,  ,  ,  , 0
14:30:23, 190, 0, 100378,  ,  , 20.53, 53.60,  ,  ,  , 0
14:30:24, 190, 0, 100378,  ,  , 20.49, 53.55,  ,  ,  , 0
14:30:25, 190, 0, 100378,  ,  , 20.44, 53.50,  ,  ,  , 0.1
14:30:26, 190, 0, 100378,  ,  , 20.39, 53.45,  ,  ,  , 0.1
14:30:27, 190, 0, 100378,  ,  , 20.34, 53.80, 23.0,  ,  , 0
14:30:28, 190, 0, 100378,  ,  , 20.29, 54.40,  ,  ,  , 0
14:30:29, 190, 0, 100378,  ,  , 20.25, 54.50,  ,  ,  , 0
14:30:30, 190, 0, 100378,  ,  , 20.20, 54.25,  ,  ,  , 0
14:30:31, 190, 0, 100378,  ,  , 20.14, 54.15,  ,  ,  , 0
14:30:32, 190, 0, 100379,  ,  , 20.14, 54.10,  ,  ,  , 0
14:30:33, 190, 0, 100380,  ,  , 20.18, 53.90,  ,  ,  , 0
14:30:34, 189, -1, 100389,  ,  , 20.29, 53.75,  ,  ,  , -0.1
14:30:35, 188, -2, 100399,  ,  , 20.49, 53.65,  ,  ,  , -0.1
14:30:36, 188, -2, 100410,  ,  , 20.55, 53.60,  ,  ,  , -0.2
14:30:36, 188, -2, 100410,  ,  , 20.58, 53.75,  ,  ,  , -0.2
14:30:37, 187, -3, 100411,  ,  , 20.64, 54.05,  ,  ,  , -0.2
14:30:38, 187, -3, 100412,  ,  , 20.68, 53.95,  ,  ,  , -0.2
14:30:39, 187, -3, 100415,  ,  , 20.76, 53.70,  ,  ,  , -0.3
14:30:40, 187, -3, 100419,  ,  , 20.87, 53.60,  ,  ,  , -0.3
14:30:41, 186, -4, 100424,  ,  , 21.02, 53.65,  ,  ,  , -0.3
14:30:42, 187, -3, 100420,  ,  , 21.16, 53.60,  ,  ,  , -0.3
14:30:43, 187, -3, 100417,  ,  , 21.27, 53.70,  ,  ,  , -0.3
14:30:44, 187, -3, 100414,  ,  , 21.41, 53.70,  ,  ,  , -0.2
14:30:45, 188, -2, 100404,  ,  , 21.51, 53.60,  ,  ,  , -0.2
14:30:46, 189, -1, 100394,  ,  , 21.58, 53.20,  ,  ,  , 0
14:30:47, 190, 0, 100384,  ,  , 21.65, 52.90,  ,  ,  , 0.1
14:30:48, 190, 0, 100382,  ,  , 21.70, 52.50,  ,  ,  , 0.2
14:30:49, 190, 0, 100381,  ,  , 21.72, 52.55,  ,  ,  , 0.2
14:30:50, 190, 0, 100380,  ,  , 21.65, 52.50,  ,  ,  , 0.2
14:30:51, 190, 0, 100380,  ,  , 21.66, 51.95,  ,  ,  , 0.2
14:30:52, 190, 0, 100381,  ,  , 21.66, 51.55,  ,  ,  , 0.2
14:30:53, 190, 0, 100382,  ,  , 21.72, 51.45, 25.2,  ,  , 0.3
14:30:54, 190, 0, 100385,  ,  , 21.72, 51.65,  ,  ,  , 0.3
14:30:55, 189, -1, 100388,  ,  , 21.70, 51.85,  ,  ,  , 0.2
14:30:56, 189, -1, 100392,  ,  , 21.67, 52.65,  ,  ,  , 0.2
14:30:57, 190, 0, 100387,  ,  , 21.59, 52.80,  ,  ,  , 0.2
14:30:58, 190, 0, 100382,  ,  , 21.51, 52.25,  ,  ,  , 0.1
