# Radiation correction v2.4. Params: lat=43.2496, lon=-87.7279, utc_time=2023-09-14 17:41
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 992.22, 18.62, 47.3, 4.24, 106.3
40, 989.91, 18.34, 47.9, 3.89, 105.7
60, 987.61, 18.25, 48.4, 3.67, 106.1
80, 985.32, 18.05, 49.1, 3.38, 107.2
100, 983.03, 17.89, 49.8, 3.15, 109.9
120, 980.74, 17.76, 50.2, 2.86, 109.0
140, 978.46, 17.64, 50.4, 2.70, 105.8
160, 976.18, 17.38, 50.9, 2.58, 103.6
180, 973.90, 17.04, 51.4, 2.55, 106.1
200, 971.63, 16.77, 52.0, 2.61, 105.0
220, 969.36, 16.66, 52.3, 2.83, 97.5
240, 967.10, 16.47, 52.3, 2.94, 92.8
260, 964.83, 16.30, 52.6, 3.09, 90.7
280, 962.58, 16.19, 52.9, 3.02, 87.1
300, 960.32, 16.02, 53.0, 3.03, 87.8
320, 958.07, 15.72, 53.3, 2.91, 98.5
340, 955.83, 15.55, 53.5, 2.81, 104.1
360, 953.58, 15.52, 53.5, 2.55, 96.1
380, 951.35, 15.39, 53.5, 2.35, 69.5
400, 949.11, 15.08, 54.4, 1.81, 72.9
420, 946.88, 14.83, 55.1, 1.38, 71.7
440, 944.65, 14.67, 55.3, 0.93, 73.4
460, 942.43, 14.58, 55.0, 0.45, 75.6
480, 940.21, 14.30, 55.7, 0.17, 94.0
500, 938.00, 14.18, 56.9, 0.16, 98.5
520, 935.79, 14.32, 57.3, 0.17, 117.5
540, 933.59, 14.29, 57.5, 0.18, 138.7
560, 931.39, 13.95, 57.9, 0.18, 159.3
580, 929.19, 13.72, 58.5, 0.14, 160.9
600, 927.00, 13.61, 59.0, 0.27, 180.5
620, 924.81, 13.49, 59.1, 0.57, 206.6
640, 922.62, 13.27, 59.6, 0.81, 233.3
660, 920.44, 12.99, 60.4, 1.10, 255.3
680, 918.26, 12.90, 61.1, 1.46, 263.9
700, 916.09, 12.79, 61.3, 1.73, 264.1
720, 913.92, 12.67, 61.7, 1.87, 264.6
740, 911.76, 12.54, 62.0, 2.03, 266.1
760, 909.59, 12.43, 62.2, 2.11, 268.3
780, 907.44, 12.24, 62.2, 2.19, 267.4
800, 905.28, 12.06, 62.3, 2.36, 267.1
